ID,Outcome
1_554,0.719972759485245
2_554,0.422503411769867
3_554,0.50140155851841
4_554,0.38084015250206
6_554,0.585219144821167
7_554,0.566892027854919
9_554,0.604551166296005
10_554,0.743025809526444
11_554,0.505400210618973
12_554,0.71511173248291
13_554,0.741382449865341
14_554,0.636870384216309
15_554,0.41152361035347
16_554,0.574328601360321
17_554,0.638797014951706
18_554,0.486485317349434
19_554,0.428559482097626
20_554,0.636465132236481
21_554,0.508178532123566
22_554,0.574402898550034
23_554,0.758696883916855
24_554,0.583999276161194
25_554,0.71123668551445
26_554,0.539798602461815
27_554,0.620832115411758
28_554,0.604416072368622
29_554,0.653391838073731
30_554,0.667257905006409
31_554,0.515529066324234
32_554,0.751750975847244
34_554,0.640729039907455
35_554,0.588312402367592
36_554,0.317304670810699
37_554,0.646984815597534
38_554,0.78445890545845
39_554,0.510210871696472
40_554,0.355352729558945
42_554,0.595475673675537
43_554,0.466275811195374
44_554,0.695358097553253
45_554,0.462337449193001
46_554,0.252095334231854
47_554,0.456202238798142
49_554,0.604853004217148
50_554,0.605796843767166
51_554,0.563530951738358
52_554,0.503045707941055
54_554,0.352280035614967
55_554,0.52351202070713
56_554,0.625002562999725
57_554,0.54070058465004
58_554,0.704054713249207
59_554,0.613505780696869
60_554,0.550995081663132
62_554,0.618913948535919
63_554,0.690952807664871
64_554,0.718001216650009
65_554,0.414227828383446
66_554,0.668644577264786
67_554,0.351647287607193
68_554,0.402310281991959
69_554,0.634276986122131
70_554,0.573380336165428
71_554,0.689142376184464
72_554,0.754138857126236
73_554,0.548849761486054
74_554,0.706682920455933
75_554,0.661198765039444
76_554,0.553232342004776
77_554,0.326176539063454
78_554,0.686593860387802
79_554,0.727763205766678
80_554,0.672675430774689
81_554,0.625462532043457
82_554,0.619160056114197
83_554,0.702927619218826
84_554,0.304284900426865
85_554,0.677399039268494
86_554,0.462750822305679
87_554,0.711639940738678
91_554,0.593295902013779
92_554,0.599174290895462
93_554,0.391899764537811
94_554,0.624052792787552
95_554,0.546695962548256
96_554,0.651925832033157
97_554,0.516564220190048
98_554,0.599249362945557
100_554,0.417930141091347
101_554,0.738908171653748
102_554,0.489636585116386
103_554,0.421863496303558
104_554,0.494819015264511
105_554,0.440152317285538
106_554,0.776427298784256
107_554,0.68571275472641
108_554,0.587517738342285
109_554,0.605420857667923
110_554,0.640683323144913
112_554,0.728390604257584
113_554,0.60314604640007
114_554,0.703699946403503
115_554,0.693144798278809
116_554,0.795409262180328
117_554,0.465160176157951
118_554,0.517295196652412
119_554,0.499412164092064
120_554,0.648356437683106
121_554,0.443812146782875
122_554,0.745094448328018
123_554,0.671360969543457
124_554,0.661951154470444
125_554,0.706336438655853
127_554,0.672134727239609
128_554,0.52389694750309
129_554,0.630079746246338
130_554,0.727166801691055
131_554,0.657676190137863
132_554,0.59405329823494
133_554,0.541950330138207
134_554,0.622614085674286
135_554,0.656684249639511
138_554,0.435823440551758
139_554,0.616663932800293
140_554,0.492649912834168
141_554,0.530521512031555
144_554,0.771215230226517
145_554,0.693564832210541
146_554,0.597574830055237
147_554,0.3775774538517
148_554,0.580272018909454
149_554,0.565081045031548
150_554,0.625944197177887
151_554,0.637145221233368
153_554,0.607967078685761
154_554,0.435582339763641
155_554,0.668332636356354
158_554,0.718193709850311
159_554,0.556798815727234
160_554,0.539486438035965
161_554,0.477881476283073
162_554,0.571297615766525
163_554,0.494052052497864
166_554,0.559034496545792
167_554,0.517572492361069
168_554,0.633034706115723
169_554,0.546985357999802
170_554,0.682090491056442
172_554,0.466426730155945
173_554,0.738985657691956
174_554,0.637942224740982
176_554,0.82436865568161
177_554,0.524134680628777
178_554,0.48128953576088
179_554,0.543480753898621
180_554,0.533766746520996
182_554,0.524257481098175
183_554,0.575056910514832
184_554,0.415571644902229
186_554,0.525853961706162
187_554,0.697571724653244
188_554,0.611990809440613
189_554,0.635761201381683
190_554,0.655335575342178
191_554,0.622428745031357
192_554,0.474392965435982
193_554,0.517373651266098
194_554,0.735970735549927
195_554,0.729553490877152
196_554,0.574395179748535
197_554,0.645379692316055
198_554,0.439914703369141
200_554,0.358673170208931
201_554,0.593094050884247
203_554,0.681575119495392
205_554,0.736986219882965
206_554,0.546928375959396
207_554,0.633677154779434
208_554,0.606869071722031
209_554,0.647032201290131
210_554,0.740278482437134
211_554,0.495510429143906
212_554,0.766204535961151
214_554,0.495121106505394
215_554,0.674063146114349
216_554,0.658077329397202
217_554,0.547690540552139
218_554,0.439852938055992
219_554,0.675013542175293
220_554,0.511384427547455
221_554,0.631189674139023
222_554,0.631430327892304
223_554,0.590977787971497
224_554,0.62235102057457
225_554,0.532035201787949
226_554,0.710265278816223
227_554,0.794095456600189
229_554,0.405944690108299
